form_name,total_items,too_hard,hard,good_difficulty,easy,too_easy,poor_disc,low_disc,acceptable_disc,good_disc,any_issues,no_issues,mean_difficulty,mean_discrimination
WW2 Form 1 AI Assist questions,9,2,0,6,1,0,1,0,0,6,3,6,0.4567777777777777,0.5344285714285715
WW2 Form 2 GPT questions,8,2,0,4,2,0,4,0,0,2,6,2,0.4815,0.15516666666666665
